STAFF LOGINS
Staff ID,Academy,Email,Full Name,Role,Active,Coach Access Code
6,admin@arsenal-demo.co.uk,Rachel Ahmed,academy_admin,t,Arsenal,COACH-ARS-003
12,admin@arsenal.co.uk,Demo Admin,academy_admin,t,Arsenal,COACH-ARS-003
57,demo@arsenal-academy.co.uk,Arsenal Demo Admin,academy_admin,t,Arsenal,COACH-ARS-003
7,coach@arsenal-demo.co.uk,Tony Reid,staff,t,Arsenal,COACH-ARS-003
11,coach@arsenal.co.uk,Demo Coach,staff,t,Arsenal,COACH-ARS-003
9,edu@arsenal-demo.co.uk,Richard Osei,staff,t,Arsenal,COACH-ARS-003
8,psych@arsenal-demo.co.uk,Dr. Liz Murray,staff,t,Arsenal,COACH-ARS-003
10,welfare@arsenal-demo.co.uk,Chloe Barnes,staff,t,Arsenal,COACH-ARS-003
16,admin@aston-villa.co.uk,Aston Villa Admin,academy_admin,t,Aston Villa,COACH-AST-009
17,admin@birmingham-city.co.uk,Birmingham City Admin,academy_admin,t,Birmingham City,COACH-BIR-001
18,admin@blackburn.co.uk,Blackburn Rovers Admin,academy_admin,t,Blackburn Rovers,COACH-BLA-032
19,admin@bournemouth.co.uk,Bournemouth Admin,academy_admin,t,Bournemouth,COACH-BOU-010
20,admin@brentford.co.uk,Brentford Admin,academy_admin,t,Brentford,COACH-BRE-011
21,admin@brighton.co.uk,Brighton & Hove Albion Admin,academy_admin,t,Brighton & Hove Albion,COACH-BRI-012
22,admin@bristol-city.co.uk,Bristol City Admin,academy_admin,t,Bristol City,COACH-BRI-040
23,admin@burnley.co.uk,Burnley Admin,academy_admin,t,Burnley,COACH-BUR-027
24,admin@cardiff.co.uk,Cardiff City Admin,academy_admin,t,Cardiff City,COACH-CAR-035
25,admin@chelsea.co.uk,Chelsea Admin,academy_admin,t,Chelsea,COACH-CHE-002
26,admin@coventry.co.uk,Coventry City Admin,academy_admin,t,Coventry City,COACH-COV-030
27,admin@crystal-palace.co.uk,Crystal Palace Admin,academy_admin,t,Crystal Palace,COACH-CRY-013
28,admin@derby.co.uk,Derby County Admin,academy_admin,t,Derby County,COACH-DER-036
29,admin@everton.co.uk,Everton Admin,academy_admin,t,Everton,COACH-EVE-014
